Year	DoY	Hour	NEE	LE	H	Rg	Tair	Tsoil	rH	VPD	Ustar
-	-	-	umolm-2s-1	Wm-2	Wm-2	Wm-2	degC	degC	%	hPa	ms-1
2019	122.0	16.0	-7.83	-141.79	226.58	412.9	31.0	28.33	36.84	2.98	0.73
2019	122.0	16.5	-1.91	96.66	56.98	412.9	31.0	28.39	33.58	2.98	0.32
2019	122.0	17.0	-3.21	-15.61	65.94	379.3	29.7	28.56	37.41	2.63	0.38
2019	122.0	17.5	-9999.0	29.51	9.19	379.3	29.7	28.47	40.49	2.63	0.28
2019	122.0	18.0	2.35	27.67	-14.25	275.3	29.2	28.09	38.54	2.65	0.23
2019	122.0	18.5	-9999.0	3.57	-1.65	275.3	29.2	27.59	43.58	2.65	0.16
2019	122.0	19.0	0.94	10.82	-8.71	39.9	27.1	27.07	40.43	2.2	0.15
2019	122.0	19.5	-9999.0	-11.02	4.62	39.9	27.1	26.59	41.27	2.2	0.21
2019	122.0	20.0	0.97	5.42	-5.59	0.2	25.2	26.16	49.63	1.76	0.09
2019	122.0	20.5	1.2	29.59	-24.11	0.2	25.2	25.7	44.24	1.76	0.2
2019	122.0	21.0	3.99	75.83	-28.74	0.0	23.8	25.23	37.09	1.52	0.22
2019	122.0	21.5	13.28	84.9	-51.17	0.0	23.8	24.91	40.85	1.52	0.15
2019	122.0	22.0	-9999.0	44.85	-38.22	0.0	24.1	24.65	37.59	1.71	0.18
2019	122.0	22.5	-9999.0	3.7	-5.09	0.0	24.1	24.55	51.65	1.71	0.16
2019	122.0	23.0	-9999.0	-1.35	1.98	0.0	24.0	24.47	58.57	1.74	0.1
2019	122.0	23.5	7.33	16.91	-22.64	0.0	24.0	24.18	57.01	1.74	0.22
2019	123.0	0.0	-9999.0	-1.24	1.47	0.0	20.8	23.8	62.91	1.01	0.05
2019	123.0	0.5	8.31	4.97	-15.62	0.0	20.8	23.39	65.75	1.01	0.14
2019	123.0	1.0	-9999.0	-5.42	1.87	0.0	19.3	23.04	70.49	0.82	0.1
