"LE_orig"	"LE_f"	"LE_fqc"	"LE_fall"	"LE_fall_qc"	"LE_fnum"	"LE_fsd"	"LE_fmeth"	"LE_fwin"
176.47	176.47	0	176.47	NA	NA	NA	NA	NA
88.91	88.91	0	88.91	NA	NA	NA	NA	NA
77.11	77.11	0	77.11	NA	NA	NA	NA	NA
62.47	62.47	0	62.47	NA	NA	NA	NA	NA
30.51	30.51	0	30.51	NA	NA	NA	NA	NA
12.15	12.15	0	12.15	NA	NA	NA	NA	NA
27.84	27.84	0	27.84	NA	NA	NA	NA	NA
NA	6.77026315789474	1	6.77026315789474	1	38	16.8310002732799	1	14
NA	4.66981818181818	1	4.66981818181818	1	55	8.45948174818123	1	14
12.84	12.84	0	12.84	NA	NA	NA	NA	NA
32.95	32.95	0	32.95	NA	NA	NA	NA	NA
2.18	2.18	0	2.18	NA	NA	NA	NA	NA
3.25	3.25	0	3.25	NA	NA	NA	NA	NA
4.44	4.44	0	4.44	NA	NA	NA	NA	NA
0.64	0.64	0	0.64	NA	NA	NA	NA	NA
1.26	1.26	0	1.26	NA	NA	NA	NA	NA
1.03	1.03	0	1.03	NA	NA	NA	NA	NA
-1.11	-1.11	0	-1.11	NA	NA	NA	NA	NA
2.24	2.24	0	2.24	NA	NA	NA	NA	NA
0.52	0.52	0	0.52	NA	NA	NA	NA	NA
NA	3.28630434782609	1	3.28630434782609	1	46	8.66819252175463	1	14
0.03	0.03	0	0.03	NA	NA	NA	NA	NA
-0.55	-0.55	0	-0.55	NA	NA	NA	NA	NA
-1.1	-1.1	0	-1.1	NA	NA	NA	NA	NA
-1.18	-1.18	0	-1.18	NA	NA	NA	NA	NA
NA	1.32105263157895	1	1.32105263157895	1	19	4.36436694497717	1	14
NA	10.18125	1	10.18125	1	8	12.0238446875959	1	14
5.46	5.46	0	5.46	NA	NA	NA	NA	NA
24.38	24.38	0	24.38	NA	NA	NA	NA	NA
43.79	43.79	0	43.79	NA	NA	NA	NA	NA
106.05	106.05	0	106.05	NA	NA	NA	NA	NA
115.1	115.1	0	115.1	NA	NA	NA	NA	NA
102.56	102.56	0	102.56	NA	NA	NA	NA	NA
89.88	89.88	0	89.88	NA	NA	NA	NA	NA
158.7	158.7	0	158.7	NA	NA	NA	NA	NA
163.86	163.86	0	163.86	NA	NA	NA	NA	NA
166.56	166.56	0	166.56	NA	NA	NA	NA	NA
201.29	201.29	0	201.29	NA	NA	NA	NA	NA
196.2	196.2	0	196.2	NA	NA	NA	NA	NA
201.64	201.64	0	201.64	NA	NA	NA	NA	NA
198.41	198.41	0	198.41	NA	NA	NA	NA	NA
205.15	205.15	0	205.15	NA	NA	NA	NA	NA
207.25	207.25	0	207.25	NA	NA	NA	NA	NA
174.37	174.37	0	174.37	NA	NA	NA	NA	NA
176.3	176.3	0	176.3	NA	NA	NA	NA	NA
119.8	119.8	0	119.8	NA	NA	NA	NA	NA
NA	175.9675	1	175.9675	1	4	50.5272846258996	1	14
NA	175.9675	1	175.9675	1	4	50.5272846258996	1	14
95.75	95.75	0	95.75	NA	NA	NA	NA	NA
72.98	72.98	0	72.98	NA	NA	NA	NA	NA
68.36	68.36	0	68.36	NA	NA	NA	NA	NA
41.33	41.33	0	41.33	NA	NA	NA	NA	NA
36.98	36.98	0	36.98	NA	NA	NA	NA	NA
NA	15.4825	1	15.4825	1	24	13.7911333361567	1	14
NA	13.7924242424242	1	13.7924242424242	1	33	20.0115282447242	1	14
-21.59	-21.59	0	-21.59	NA	NA	NA	NA	NA
8.74	8.74	0	8.74	NA	NA	NA	NA	NA
12.58	12.58	0	12.58	NA	NA	NA	NA	NA
3.42	3.42	0	3.42	NA	NA	NA	NA	NA
NA	5.82333333333333	1	5.82333333333333	1	42	7.64867425677018	1	14
10.92	10.92	0	10.92	NA	NA	NA	NA	NA
1.64	1.64	0	1.64	NA	NA	NA	NA	NA
NA	5.21	1	5.21	1	48	7.75365912245528	1	14
21.94	21.94	0	21.94	NA	NA	NA	NA	NA
NA	4.76584905660377	1	4.76584905660377	1	53	8.60561163829077	1	14
NA	4.76584905660377	1	4.76584905660377	1	53	8.60561163829077	1	14
14.82	14.82	0	14.82	NA	NA	NA	NA	NA
8.33	8.33	0	8.33	NA	NA	NA	NA	NA
